UFL,UFC,UFR,Vel_Izq,Vel_Der
2413,282,217,120,119
2412,280,218,120,119
2413,277,222,120,119
2413,275,222,120,119
2417,279,219,120,119
2414,279,217,120,119
2413,277,220,120,119
2410,282,221,120,119
2413,282,217,120,119
2411,279,221,120,119
2412,277,220,120,119
2413,278,218,120,119
2411,276,216,120,119
2415,279,218,120,119
2414,276,218,120,119
2410,279,221,120,119
2413,279,221,120,119
2414,278,216,120,119
2414,281,217,120,119
2413,279,217,120,119
2414,280,223,120,119
2415,279,217,120,119
2414,278,222,120,119
2416,279,214,120,119
2414,281,219,120,119
2413,278,223,120,119
2411,280,218,120,119
2415,278,217,120,119
2414,277,220,120,119
2413,280,220,120,119
2412,280,220,120,119
2414,279,216,120,119
2414,278,219,120,119
2410,283,222,120,119
2407,278,218,120,119
2413,278,218,120,119
2413,279,220,120,119
2411,279,220,120,119
2413,281,219,120,119
2410,278,220,120,119
2412,279,221,120,119
2416,279,220,120,119
2412,277,221,120,119
2414,277,217,120,119
2413,277,217,120,119
2411,279,219,120,119
2413,279,219,120,119
2414,281,219,120,119
2411,281,221,120,119
2415,280,218,120,119
2408,278,219,120,119
2411,275,216,120,119
2410,274,215,120,119
2416,275,220,120,119
2410,282,218,120,119
2416,277,218,120,119
2408,280,218,120,119
2409,281,219,120,119
2413,281,218,120,119
2415,279,222,120,119
2412,279,216,120,119
2414,280,219,120,119
2413,278,220,120,119
2415,278,221,120,119
2412,279,220,120,119
2407,276,219,120,119
2414,283,220,120,119
2413,277,218,120,119
2409,279,221,120,119
2418,279,216,120,119
2412,279,220,120,119
2416,276,217,120,119
2413,280,219,120,119
2414,278,214,120,119
2415,279,221,120,119
2413,277,219,120,119
2415,282,219,120,119
2411,280,219,120,119
2415,279,214,120,119
2417,280,218,120,119
2411,277,221,120,119
2413,280,215,120,119
2413,277,217,120,119
2414,277,219,120,119
2416,281,222,120,119
2412,276,217,120,119
2413,281,219,120,119
2411,277,223,120,119
2410,276,217,120,119
2409,276,218,120,119
2414,277,215,120,119
2411,279,219,120,119
2408,279,219,120,119
2410,283,221,120,119
2414,281,223,120,119
2414,277,221,120,119
2413,278,220,120,119
2413,279,222,120,119
2414,279,218,120,119
2412,279,219,120,119
2412,281,219,120,119
2411,282,218,120,119
2412,278,219,120,119
2411,279,217,120,119
2415,281,221,120,119
2413,275,216,120,119
2411,279,217,120,119
2410,276,220,120,119
2415,277,219,120,119
2413,281,217,120,119
2413,279,216,120,119
2416,283,217,120,119
2411,278,220,120,119
2413,282,222,120,119
2414,278,220,120,119
2411,276,218,120,119
2414,277,217,120,119
2412,280,220,120,119
2415,277,217,120,119
2413,278,220,120,119
2411,281,218,120,119
2410,281,218,120,119
2413,277,220,120,119
2414,278,219,120,119
2414,280,224,101,138
2411,279,219,134,105
2414,280,219,120,119
2415,281,216,120,119
2414,278,218,120,119
2413,281,219,120,119
2410,277,223,120,119
2411,279,219,120,119
2412,278,224,101,138
2410,280,217,135,104
2412,282,216,120,120
2413,276,221,120,120
2413,278,247,101,138
2408,279,218,134,105
2415,279,217,119,120
2413,277,216,119,120
2411,279,222,119,120
2416,280,221,119,120
2412,280,220,119,120
2410,280,221,119,120
2414,276,218,119,120
2416,280,218,119,120
2417,277,224,101,138
2411,279,218,135,104
2412,279,219,119,120
2416,276,221,119,120
2411,281,220,119,120
2414,278,217,119,120
2412,277,221,119,120
2415,279,221,119,120
2415,281,219,119,120
2411,283,223,119,120
2411,279,215,119,120
2410,276,218,119,120
2414,277,220,119,120
2411,282,225,101,138
2409,276,219,134,105
2416,276,218,119,120
2413,278,215,119,120
2416,283,221,119,120
2414,276,217,119,120
2409,277,219,119,120
2408,276,221,119,120
2414,277,216,119,120
2412,278,221,119,120
2413,276,223,119,120
2413,277,220,119,120
2413,279,217,119,120
2415,277,223,119,120
2410,276,217,119,120
2413,276,218,119,120
2409,274,220,119,120
2412,279,218,119,120
2414,279,221,119,120
2415,282,221,119,120
2415,277,217,119,120
2410,277,218,119,120
2416,277,217,119,120
2413,281,218,119,120
2412,278,221,119,120
2409,281,218,119,120
2417,279,221,119,120
2414,279,214,119,120
2414,277,219,119,120
2414,276,218,119,120
2416,279,218,119,120
2413,277,218,119,120
2414,282,219,119,120
2415,275,220,119,120
2414,279,220,119,120
2415,278,220,119,120
2410,275,215,119,120
2413,274,220,119,120
2414,276,215,119,120
2413,282,219,119,120
2411,277,217,119,120
2414,279,220,119,120
2415,278,221,119,120
2413,279,220,119,120
2414,279,218,119,120
2411,279,220,119,120
2411,278,218,119,120
