UFL,UFC,UFR,Vel_Izq,Vel_Der
2480,124,191,85,84
2501,124,203,85,84
2487,132,198,85,84
2464,121,185,85,84
2449,118,179,85,84
2437,114,171,85,84
2422,132,179,85,84
2408,130,197,85,84
2394,124,191,85,84
2394,123,187,85,84
2393,120,202,85,84
2452,123,192,85,84
2533,115,189,85,84
2486,121,194,85,84
2515,124,187,85,84
2525,111,200,85,84
2480,123,195,85,84
2493,118,180,85,84
2475,112,184,85,84
2486,123,187,85,84
2461,116,186,85,84
2448,121,177,85,84
2519,122,190,85,84
2542,114,182,85,84
2554,119,194,85,84
2486,109,181,85,84
2523,123,191,85,84
2529,131,198,85,84
2535,135,180,85,84
2494,118,192,85,84
2497,132,183,85,84
2500,132,182,85,84
2494,126,184,85,84
2498,119,183,85,84
2529,133,163,85,84
2517,124,185,85,84
2498,117,169,85,84
2486,132,162,85,84
2473,124,162,85,84
2443,124,166,85,84
2475,132,157,85,84
2466,132,149,93,76
2490,119,131,88,81
2487,137,135,88,81
2541,130,121,88,81
2502,117,144,88,81
2497,121,126,88,81
2508,135,133,88,81
2468,140,125,88,81
2421,142,134,88,81
2379,130,118,88,81
2619,147,139,88,81
2728,138,119,88,81
2626,136,127,88,81
2429,147,119,88,81
2441,137,114,88,81
2468,139,121,88,81
2461,138,116,88,81
2471,153,111,88,81
2489,155,126,88,81
2493,142,110,88,81
2515,157,114,88,81
2467,145,129,88,81
2470,159,110,88,81
2492,149,113,88,81
2446,162,115,88,81
2412,165,106,88,81
2394,177,105,88,81
2393,171,127,88,81
2403,168,100,88,81
2470,178,110,88,81
2422,177,120,88,81
2441,172,110,88,81
2447,175,113,88,81
2389,172,127,88,81
2395,180,113,88,81
2418,181,127,88,81
2421,185,105,88,81
2443,191,129,88,81
2429,174,113,88,81
2466,186,108,88,81
2448,200,111,88,81
2465,190,117,88,81
2485,190,121,88,81
2446,202,114,88,81
2456,190,124,88,81
2428,197,114,88,81
2469,218,117,95,74
2497,219,117,90,79
2502,217,105,90,79
2478,219,124,90,79
2504,226,108,90,79
2498,225,101,90,79
2510,222,124,90,79
2534,242,114,90,79
2495,243,122,90,79
2468,227,109,90,79
2453,236,111,90,79
2458,243,121,90,79
2480,254,122,90,79
2478,239,121,90,79
2494,241,123,90,79
2466,247,113,90,79
2404,232,112,90,79
2440,223,113,90,79
2487,241,109,90,79
2512,242,110,90,79
2529,243,108,90,79
2529,255,117,90,79
2522,254,116,90,79
2494,243,120,90,79
2517,240,115,90,79
2484,251,105,90,79
2485,254,117,90,79
2518,258,109,90,79
2499,260,118,90,79
2393,247,110,90,79
2377,258,115,90,79
2376,242,107,90,79
2345,244,104,90,79
2338,254,105,90,79
2396,247,116,90,79
2346,267,113,90,79
2391,261,126,90,79
2420,253,123,90,79
2397,267,119,90,79
2406,273,112,90,79
2426,277,110,90,79
2370,248,119,90,79
2418,260,116,90,79
2412,250,117,90,79
2383,254,118,90,79
2442,266,123,90,79
2418,250,105,90,79
2403,251,122,90,79
2395,250,110,90,79
2406,270,112,90,79
2486,290,121,90,79
2483,238,127,90,79
2455,260,110,90,79
2436,254,115,90,79
2458,246,117,90,79
2454,267,110,90,79
2436,268,108,90,79
2460,276,114,90,79
2470,290,124,90,79
2471,295,121,90,79
2454,305,123,90,79
2486,274,115,90,79
2535,261,120,90,79
2535,295,103,90,79
2486,365,125,90,79
2473,420,118,90,79
2483,304,119,90,79
2493,282,122,90,79
2448,345,130,90,79
2449,440,111,90,79
2517,282,121,90,79
2530,289,119,90,79
2525,248,101,90,79
2507,281,110,90,79
2513,254,115,90,79
2522,263,121,90,79
2510,287,116,90,79
2523,262,107,90,79
2507,232,106,90,79
2504,237,102,90,79
2508,237,127,90,79
2494,237,115,90,79
2493,243,123,90,79
2495,257,119,90,79
2481,248,134,90,79
2457,266,149,90,79
2482,266,142,90,79
2480,284,151,90,79
2492,283,153,90,79
2494,279,139,90,79
2482,293,133,90,79
2494,266,117,90,79
2501,289,113,90,79
2466,266,118,90,79
2474,262,114,90,79
2473,272,108,90,79
2472,259,115,90,79
2460,276,119,90,79
